"Valborg";369
"Valentina";728
"Valentyna";805
"Valeria";295
"Valeriia";481
"Vanessa";1251
"Vanja";1002
"Vega";232
"Venche";283
"Venke";766
"Vera";2290
"Veronica";3802
"Veronika";2019
"Veslemøy";623
"Vibecke";417
"Vibeke";4849
"Victoria";7211
"Vida";425
"Vigdis";5641
"Viktoria";1633
"Viktoriia";1433
"Viktorija";436
"Vilde";9248
"Vilja";1211
"Vilje";632
"Vilma";1109
"Viola";420
"Violeta";300
"Vira";281
"Vita";208
"Vivi";1135
"Vivian";1693
"Vår";314
"Vårin";623
"Wanja";228
"Wenche";13180
"Wencke";.
"Wendy";267
"Wenke";377
"Weronika";418
"Wigdis";249
"Wiktoria";605
"Wilma";802
"X";.
"Yana";465
"Yara";211
"Yasmin";803
"Yelyzaveta";414
"Yeva";246
"Yevheniia";325
"Ylva";2404
"Yngvild";281
"Yordanos";213
"Yuliia";1349
"Yusra";213
"Yvonne";1814
"Zahra";999
"Zainab";565
"Zara";377
"Zeinab";242
"Zeynep";204
"Zlata";233
"Zoe";315
"Zofia";377
"Zuzanna";572
"Ågot";295
"Åsa";762
"Åse";9184
"Åshild";2850
"Åslaug";300
"Åsne";710
"Åsta";554
